TrackerRow,Skill,Perk,Priority,CurrentTestStatus,Reasons,TestCases,TestScenario,TrackerLink
73,Beast Mastery,Bodyguard's Resolve,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A73:O73
74,Beast Mastery,Guarding Roar II,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A74:O74
75,Beast Mastery,Iron Hide III,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A75:O75
78,Beast Mastery,Rampart Hide,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A78:O78
79,Beast Mastery,Guarding Roar III,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A79:O79
81,Beast Mastery,Unbreakable Beast,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A81:O81
82,Beast Mastery,Claw I,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Periodic damage and mitigation,"C1, C4","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A82:O82
83,Beast Mastery,Bolster Attack I,Combination regression,Retest,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A83:O83
84,Beast Mastery,Guarded Bite I,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A84:O84
86,Beast Mastery,Claw II,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Periodic damage and mitigation,"C1, C4","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A86:O86
88,Beast Mastery,Bolster Attack II,Combination regression,Retest,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A88:O88
89,Beast Mastery,Coordinated Strike I,Combination regression,Retest,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A89:O89
90,Beast Mastery,Guarded Bite II,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A90:O90
92,Beast Mastery,Claw III,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Periodic damage and mitigation,"C1, C4","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A92:O92
94,Beast Mastery,Bolster Attack III,Combination regression,Retest,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A94:O94
95,Beast Mastery,Coordinated Strike II,Combination regression,Retest,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A95:O95
97,Beast Mastery,Guarded Bite III,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A97:O97
98,Beast Mastery,Alpha Rhythm,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Incoming reduction / Guard / conversion interaction,"C1, C2","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A98:O98
100,Beast Mastery,Ice Breath I,Combination regression,Retest,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A100:O100
105,Beast Mastery,Ice Breath II,Combination regression,Retest,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A105:O105
115,Beast Mastery,Primal Overrun,Combination regression,Retest,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A115:O115
134,Beast Mastery,Innervate I,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A134:O134
135,Beast Mastery,Warding Howl I,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A135:O135
138,Beast Mastery,Psychic Cry I,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A138:O138
139,Beast Mastery,Innervate II,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A139:O139
140,Beast Mastery,Warding Howl II,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A140:O140
143,Beast Mastery,Mindful Hide,Combination regression,Not Tested,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A143:O143
144,Beast Mastery,Psychic Cry II,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A144:O144
145,Beast Mastery,Innervate III,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A145:O145
146,Beast Mastery,Warding Howl III,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A146:O146
148,Beast Mastery,Psychic Cry III,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A148:O148
149,Beast Mastery,Force-Bonded Beast,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A149:O149
150,Devices,Frag Grenade I,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Periodic damage and mitigation,"C1, C4","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A150:O150
152,Devices,Concussion Grenade I,Combination regression,Pass,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A152:O152
154,Devices,Frag Grenade II,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Periodic damage and mitigation,"C1, C4","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A154:O154
155,Devices,Ion Grenade I,Combination regression,Pass,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A155:O155
158,Devices,Concussion Grenade II,Combination regression,Pass,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A158:O158
161,Devices,Ion Grenade II,Combination regression,Pass,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A161:O161
162,Devices,Frag Grenade III,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Periodic damage and mitigation,"C1, C4","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A162:O162
167,Devices,Beacon Targeting I,Combination regression,Pass,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A167:O167
169,Devices,Remote Charge I,Combination regression,Pass,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A169:O169
174,Devices,Remote Charge II,Combination regression,Pass,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A174:O174
178,Devices,Beacon Targeting II,Combination regression,Pass,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A178:O178
187,Devices,Dampening Field I,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A187:O187
